DATE,Inflation_Rate
1/1/2001,1.40%
2/1/2001,1.68%
3/1/2001,2.62%
4/1/2001,4.16%
5/1/2001,4.99%
6/1/2001,5.39%
7/1/2001,5.37%
8/1/2001,5.25%
9/1/2001,5.39%
10/1/2001,6.22%
11/1/2001,6.81%
12/1/2001,7.04%
1/1/2002,2.49%
2/1/2002,2.34%
3/1/2002,1.54%
4/1/2002,0.33%
5/1/2002,0.12%
6/1/2002,0.65%
7/1/2002,0.99%
8/1/2002,1.31%
9/1/2002,1.37%
10/1/2002,1.18%
11/1/2002,1.18%
12/1/2002,1.36%
1/1/2003,1.55%
2/1/2003,1.52%
3/1/2003,1.86%
4/1/2003,2.00%
5/1/2003,1.79%
6/1/2002,1.65%
7/1/2003,1.81%
8/1/2003,1.75%
9/1/2003,1.71%
10/1/2003,1.76%
11/1/2003,2.05%
12/1/2003,2.29%
1/1/2004,2.07%
2/1/2004,2.21%
3/1/2004,2.36%
4/1/2004,2.46%
5/1/2004,2.80%
6/1/2004,2.87%
7/1/2004,2.95%
8/1/2004,2.70%
9/1/2004,2.28%
10/1/2004,2.52%
11/1/2004,2.18%
12/1/2004,1.91%
1/1/2005,2.50%
2/1/2005,2.74%
3/1/2005,2.38%
4/1/2005,2.20%
5/1/2005,1.87%
6/1/2005,1.63%
7/1/2005,1.72%
8/1/2005,1.94%
9/1/2005,2.23%
10/1/2005,2.04%
11/1/2005,2.20%
12/1/2005,2.11%
1/1/2006,1.37%
2/1/2006,1.02%
3/1/2006,0.85%
4/1/2006,1.13%
5/1/2006,1.02%
6/1/2006,1.01%
7/1/2006,0.84%
8/1/2006,1.06%
9/1/2006,1.46%
10/1/2006,1.64%
11/1/2006,1.69%
12/1/2006,2.08%
1/1/2007,-0.09%
2/1/2007,-0.03%
3/1/2007,-0.07%
4/1/2007,-0.20%
5/1/2007,-0.04%
6/1/2007,0.12%
7/1/2007,0.17%
8/1/2007,0.20%
9/1/2007,-0.04%
10/1/2007,0.17%
11/1/2007,0.50%
12/1/2007,0.73%
1/1/2008,1.58%
2/1/2008,1.13%
3/1/2008,1.51%
4/1/2008,1.95%
5/1/2008,2.13%
6/1/2008,2.07%
7/1/2008,1.99%
8/1/2008,1.70%
9/1/2008,1.66%
10/1/2008,1.66%
11/1/2008,1.32%
12/1/2008,0.76%
1/1/2009,1.60%
2/1/2009,1.98%
3/1/2009,1.47%
4/1/2009,1.06%
5/1/2009,1.36%
6/1/2009,1.75%
7/1/2009,1.96%
8/1/2009,1.52%
9/1/2009,1.19%
10/1/2009,0.96%
11/1/2009,1.24%
12/1/2009,1.50%
1/1/2010,2.93%
2/1/2010,2.87%
3/1/2010,2.65%
4/1/2010,2.30%
5/1/2010,1.70%
6/1/2010,1.66%
7/1/2010,1.41%
8/1/2010,1.69%
9/1/2010,1.99%
10/1/2010,2.16%
11/1/2010,1.76%
12/1/2010,1.74%
1/1/2011,1.63%
2/1/2011,2.11%
3/1/2011,2.68%
4/1/2011,3.16%
5/1/2011,3.57%
6/1/2011,3.56%
7/1/2011,3.63%
8/1/2011,3.77%
9/1/2011,3.87%
10/1/2011,3.53%
11/1/2011,3.39%
12/1/2011,2.96%
1/1/2012,2.63%
2/1/2012,2.14%
3/1/2012,2.31%
4/1/2012,2.24%
5/1/2012,2.02%
6/1/2012,1.05%
7/1/2012,1.24%
8/1/2012,1.15%
9/1/2012,1.14%
10/1/2012,1.17%
11/1/2012,1.14%
12/1/2012,1.50%
1/1/2013,0.03%
2/1/2013,0.24%
3/1/2013,-0.38%
4/1/2013,-0.74%
5/1/2013,-1.28%
6/1/2013,-1.43%
7/1/2013,-2.10%
8/1/2013,-1.48%
9/1/2013,-1.29%
10/1/2013,-0.18%
11/1/2013,1.84%
12/1/2013,2.72%
1/1/2014,4.28%
2/1/2014,4.03%
3/1/2014,3.98%
4/1/2014,3.94%
5/1/2014,4.18%
6/1/2014,5.02%
7/1/2014,5.60%
8/1/2014,5.37%
9/1/2014,4.94%
10/1/2014,3.66%
11/1/2014,1.07%
12/1/2014,0.09%
1/1/2015,2.08%
2/1/2015,2.42%
3/1/2015,2.78%
4/1/2015,2.57%
5/1/2015,2.69%
6/1/2015,2.69%
7/1/2015,2.36%
8/1/2015,1.97%
9/1/2015,2.76%
10/1/2015,3.54%
11/1/2015,4.31%
12/1/2015,4.08%
1/1/2016,3.99%
2/1/2016,3.60%
3/1/2016,3.36%
4/1/2016,3.55%
5/1/2016,4.17%
6/1/2016,4.32%
7/1/2016,4.15%
8/1/2016,3.82%
9/1/2016,2.06%
10/1/2016,1.31%
11/1/2016,1.97%
12/1/2016,2.54%
1/1/2017,2.97%
2/1/2017,3.01%
3/1/2017,3.15%
4/1/2017,3.51%
5/1/2017,2.80%
6/1/2017,2.53%
7/1/2017,3.17%
8/1/2017,3.64%
9/1/2017,4.69%
10/1/2017,4.35%
11/1/2017,3.46%
12/1/2017,3.42%
1/1/2018,1.93%
2/1/2018,1.69%
3/1/2018,1.74%
4/1/2018,2.29%
5/1/2018,3.05%
6/1/2018,3.27%
7/1/2018,2.99%
8/1/2018,2.65%
9/1/2018,2.54%
10/1/2018,3.19%
11/1/2018,3.52%
12/1/2018,3.26%
1/1/2019,2.60%
2/1/2019,2.98%
3/1/2019,3.02%
4/1/2019,2.23%
5/1/2019,2.06%
6/1/2019,2.11%
7/1/2019,2.11%
8/1/2019,2.16%
9/1/2019,2.32%
10/1/2019,2.04%
11/1/2019,1.77%
12/1/2019,1.88%
1/1/2020,1.14%
2/1/2020,1.14%
3/1/2020,1.48%
4/1/2020,1.64%
5/1/2020,1.18%
6/1/2020,1.07%
7/1/2020,1.47%
8/1/2020,1.80%
9/1/2020,1.51%
10/1/2020,2.03%
11/1/2020,2.20%
12/1/2020,2.38%
1/1/2021,3.73%
2/1/2021,3.53%
3/1/2021,2.92%
4/1/2021,3.27%
5/1/2021,3.62%
6/1/2021,3.25%
7/1/2021,2.72%
8/1/2021,2.72%
9/1/2021,2.65%
10/1/2021,2.13%
11/1/2021,1.90%
12/1/2021,1.55%
