Date,PPI
1/1/2001,140
2/1/2001,137.4
3/1/2001,135.9
4/1/2001,136.4
5/1/2001,136.8
6/1/2001,135.5
7/1/2001,133.4
8/1/2001,133.4
9/1/2001,133.3
10/1/2001,130.3
11/1/2001,129.8
12/1/2001,128.1
1/1/2002,128.5
2/1/2002,128.4
3/1/2002,129.8
4/1/2002,130.8
5/1/2002,130.8
6/1/2002,130.9
7/1/2002,131.2
8/1/2002,131.5
9/1/2002,132.3
10/1/2002,133.2
11/1/2002,133.1
12/1/2002,132.9
1/1/2003,135.3
2/1/2003,137.6
3/1/2003,141.2
4/1/2003,136.8
5/1/2003,136.7
6/1/2003,138
7/1/2003,137.7
8/1/2003,138
9/1/2003,138.5
10/1/2003,139.3
11/1/2003,138.9
12/1/2003,139.5
1/1/2004,141.4
2/1/2004,142.1
3/1/2004,143.1
4/1/2004,144.8
5/1/2004,146.8
6/1/2004,147.2
7/1/2004,147.4
8/1/2004,148
9/1/2004,147.7
10/1/2004,150
11/1/2004,151.4
12/1/2004,150.2
1/1/2005,150.9
2/1/2005,151.6
3/1/2005,153.7
4/1/2005,155
5/1/2005,154.3
6/1/2005,154.3
7/1/2005,156.3
8/1/2005,157.6
9/1/2005,162.2
10/1/2005,166.2
11/1/2005,163.7
12/1/2005,163
1/1/2006,164.3
2/1/2006,161.8
3/1/2006,162.2
4/1/2006,164.3
5/1/2006,165.8
6/1/2006,166.1
7/1/2006,166.8
8/1/2006,167.9
9/1/2006,165.4
10/1/2006,162.2
11/1/2006,164.6
12/1/2006,165.6
1/1/2007,164
2/1/2007,166.8
3/1/2007,169.3
4/1/2007,171.4
5/1/2007,173.3
6/1/2007,173.8
7/1/2007,175.1
8/1/2007,172.4
9/1/2007,173.5
10/1/2007,174.7
11/1/2007,179
12/1/2007,178.6
1/1/2008,181
2/1/2008,182.7
3/1/2008,187.9
4/1/2008,190.9
5/1/2008,196.6
6/1/2008,200.5
7/1/2008,205.5
8/1/2008,199
9/1/2008,196.9
10/1/2008,186.4
11/1/2008,176.8
12/1/2008,170.9
1/1/2009,171.2
2/1/2009,169.3
3/1/2009,168.1
4/1/2009,169.1
5/1/2009,170.8
6/1/2009,174.1
7/1/2009,172.5
8/1/2009,175
9/1/2009,174.1
10/1/2009,175.2
11/1/2009,177.4
12/1/2009,178.1
1/1/2010,181.9
2/1/2010,181
3/1/2010,183.3
4/1/2010,184.4
5/1/2010,184.8
6/1/2010,183.5
7/1/2010,184.1
8/1/2010,184.9
9/1/2010,184.9
10/1/2010,186.6
11/1/2010,187.7
12/1/2010,189.7
1/1/2011,192.7
2/1/2011,195.8
3/1/2011,199.2
4/1/2011,203.1
5/1/2011,204.1
6/1/2011,203.9
7/1/2011,204.6
8/1/2011,203.2
9/1/2011,203.7
10/1/2011,201.1
11/1/2011,201.4
12/1/2011,199.8
1/1/2012,200.7
2/1/2012,201.6
3/1/2012,204.2
4/1/2012,203.7
5/1/2012,201.9
6/1/2012,199.8
7/1/2012,200.1
8/1/2012,202.7
9/1/2012,204.4
10/1/2012,203.5
11/1/2012,201.8
12/1/2012,201.5
1/1/2013,202.5
2/1/2013,204.3
3/1/2013,204
4/1/2013,203.5
5/1/2013,204.1
6/1/2013,204.3
7/1/2013,204.4
8/1/2013,204.2
9/1/2013,203.9
10/1/2013,202.5
11/1/2013,201.2
12/1/2013,202
1/1/2014,203.8
2/1/2014,205.7
3/1/2014,207
4/1/2014,208.3
5/1/2014,208
6/1/2014,208.3
7/1/2014,208
8/1/2014,207
9/1/2014,206.4
10/1/2014,203.4
11/1/2014,200.9
12/1/2014,197
1/1/2015,192
2/1/2015,191.1
3/1/2015,191.5
4/1/2015,190.9
5/1/2015,193.4
6/1/2015,194.8
7/1/2015,193.9
8/1/2015,191.9
9/1/2015,189.1
10/1/2015,187.5
11/1/2015,185.7
12/1/2015,183.5
1/1/2016,182.6
2/1/2016,181.3
3/1/2016,182.1
4/1/2016,183.2
5/1/2016,185.3
6/1/2016,187.6
7/1/2016,187.7
8/1/2016,186.6
9/1/2016,186.9
10/1/2016,186.7
11/1/2016,186.3
12/1/2016,188.2
1/1/2017,190.7
2/1/2017,191.6
3/1/2017,191.5
4/1/2017,193
5/1/2017,192.8
6/1/2017,193.6
7/1/2017,193.5
8/1/2017,193.8
9/1/2017,194.8
10/1/2017,194.9
11/1/2017,195.9
12/1/2017,196.3
1/1/2018,197.9
2/1/2018,199.3
3/1/2018,199.3
4/1/2018,200.3
5/1/2018,203.2
6/1/2018,204.2
7/1/2018,204.3
8/1/2018,203.4
9/1/2018,203.6
10/1/2018,204.6
11/1/2018,202.3
12/1/2018,201
1/1/2019,199.1
2/1/2019,199.2
3/1/2019,200.8
4/1/2019,202.1
5/1/2019,201.7
6/1/2019,200.3
7/1/2019,200.7
8/1/2019,199.2
9/1/2019,198.4
10/1/2019,198.6
11/1/2019,199
12/1/2019,199
1/1/2020,199.3
2/1/2020,196.7
3/1/2020,193.1
4/1/2020,185.5
5/1/2020,188.6
6/1/2020,191.2
7/1/2020,193
8/1/2020,194.3
9/1/2020,195.5
10/1/2020,196.5
11/1/2020,198.3
12/1/2020,200.5
1/1/2021,204.8
2/1/2021,210.6
3/1/2021,215
4/1/2021,217.9
5/1/2021,224.9
6/1/2021,228.9
7/1/2021,231.85
8/1/2021,233.415
9/1/2021,235.678
10/1/2021,240.465
11/1/2021,243.287
12/1/2021,241.338
1/1/2022,246.453
2/1/2022,252.66
3/1/2022,260.014
4/1/2022,265.31
5/1/2022,273.251
6/1/2022,280.204
7/1/2022,272.328
8/1/2022,269.585
9/1/2022,269.294
